origines,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13
Liechtenstein,liechtenstein,,,,,,,,,,,,
Lituanie,lituanie,,,,,,,,,,,,
Luxembourg,luxembourg,,,,,,,,,,,,
Macédoine du Nord,macédoine du nord,macedoine du nord,,,,,,,,,,,
Madagascar,madagascar,,,,,,,,,,,,
Malaisie,malaisie,,,,,,,,,,,,
Malawi,malawi,,,,,,,,,,,,
Maldives,maldives,,,,,,,,,,,,
Mali,mali,,,,,,,,,,,,
Malte,malte,,,,,,,,,,,,
Maroc,maroc,ma,,,,,,,,,,,
Îles Marshall,îles marshall,iles marshall,,,,,,,,,,,
Maurice,maurice,,,,,,,,,,,,
Mauritanie,mauritanie,,,,,,,,,,,,
Mexique,mexique,,,,,,,,,,,,
Micronésie,micronésie,micronesie,,,,,,,,,,,
Moldavie,moldavie,,,,,,,,,,,,
Monaco,monaco,,,,,,,,,,,,
Mongolie,mongolie,,,,,,,,,,,,
Monténégro,monténégro,montenegro,,,,,,,,,,,
Mozambique,mozambique,,,,,,,,,,,,
Namibie,namibie,,,,,,,,,,,,
Nauru,nauru,,,,,,,,,,,,
Népal,népal,nepal,,,,,,,,,,,
Nicaragua,nicaragua,,,,,,,,,,,,
Niger,niger,,,,,,,,,,,,
Nigéria,nigéria,nigeria,,,,,,,,,,,
Niue,niue,,,,,,,,,,,,
Norvège,norvège,norvege,,,,,,,,,,,
Nouvelle-Zélande,nouvelle-zélande,nouvelle zelande,,,,,,,,,,,
Oman,oman,,,,,,,,,,,,
Ouganda,ouganda,,,,,,,,,,,,
Ouzbékistan,ouzbékistan,ouzbekistan,,,,,,,,,,,
Pakistan,pakistan,,,,,,,,,,,,
Palaos,palaos,,,,,,,,,,,,
Panama,panama,,,,,,,,,,,,
Papouasie-Nouvelle-Guinée,papouasie-nouvelle-guinée,papouasie,nouvelle guinee,,,,,,,,,,
Paraguay,paraguay,,,,,,,,,,,,
Pays-Bas,pays-bas,pays bas,nl,neerlandais,hol,hollandais,hollande,,,,,,
Pérou,pérou,pe,,,,,,,,,,,
Philippines,philippines,,,,,,,,,,,,
Pologne,pologne,,,,,,,,,,,,
Portugal,portugal,pt,,,,,,,,,,,
Qatar,qatar,,,,,,,,,,,,
Roumanie,roumanie,,,,,,,,,,,,
Royaume-Uni,royaume-uni,royaume uni,uk,britanique,,,,,,,,,
Russie,russie,,,,,,,,,,,,
Rwanda,rwanda,,,,,,,,,,,,
