basevariante,aliment,variante,tva,famille,allergenes
Abondance,Abondance,,-,BOF,
Abricot en dés,Abricot,en dés,-,Fruits_et_légumes,
Abricot dénoyauté,Abricot,dénoyauté,-,Fruits_et_légumes,
Abricot oreillon,Abricot,oreillon,-,Fruits_et_légumes,
Abricot,Abricot,,-,Fruits_et_légumes,
Abricot,Abricot,,-,Fruits_et_légumes,
Abricot sec moelleux,Abricot sec,moelleux,-,Fruits_et_légumes,
Abricot sec,Abricot sec,,-,Fruits_et_légumes,
Abricots au sirop,Abricots au sirop,,-,Epicerie,
Accra de poisson,Accra de poisson,,-,Viandes_Poissons,
Agar-agar,Agar-agar,,-,Epicerie,
Agneau côte seconde,Agneau,côte seconde,-,Viandes_Poissons,
Agneau côtelette,Agneau,côtelette,-,Viandes_Poissons,
Agneau côte première,Agneau,côte première,-,Viandes_Poissons,
Agneau sauté,Agneau,sauté,-,Viandes_Poissons,
Agneau collier,Agneau,collier,-,Viandes_Poissons,
Agneau collier sauté,Agneau,collier sauté,-,Viandes_Poissons,
Agneau côte découverte,Agneau,côte découverte,-,Viandes_Poissons,
Agneau côte,Agneau,côte,-,Viandes_Poissons,
Agneau gigot,Agneau,gigot,-,Viandes_Poissons,
Agneau coeur de gigot,Agneau,coeur de gigot,-,Viandes_Poissons,
Agneau navarin sauté,Agneau,navarin sauté,-,Viandes_Poissons,
Agneau épaule sauté,Agneau,épaule sauté,-,Viandes_Poissons,
Agneau,Agneau,,-,Viandes_Poissons,
Agneau selle,Agneau,selle,-,Viandes_Poissons,
Agneau selle partie maigre,Agneau,selle partie maigre,-,Viandes_Poissons,
Agneau carré,Agneau,carré,-,Viandes_Poissons,
Agneau émincé,Agneau,émincé,-,Viandes_Poissons,
Agneau épaule,Agneau,épaule,-,Viandes_Poissons,
Agneau épaule maigre,Agneau,épaule maigre,-,Viandes_Poissons,
Ail épluché,Ail,épluché,-,Fruits_et_légumes,
Ail en morceaux,Ail,en morceaux,-,Fruits_et_légumes,
Ail,Ail,,-,Fruits_et_légumes,
Ail séché,Ail,séché,-,Fruits_et_légumes,
Ail haché,Ail haché,,-,Fruits_et_légumes,
Ail pulpe séché,Ail pulpe,séché,-,Epicerie,
Aile de raie,Aile de raie,,-,Viandes_Poissons,
Airelles,Airelles,,-,Fruits_et_légumes,
Alcool de riz,Alcool de riz,,-,Epicerie,
Alcool pur,Alcool pur,,-,Epicerie,
Alfalfa,Alfalfa,,-,Fruits_et_légumes,
Aligot,Aligot,,-,Epicerie,
Allumettes de jambon,Allumettes,de jambon,-,Viandes_Poissons,
Allumettes de volaille,Allumettes,de volaille,-,Viandes_Poissons,
Amande effilée,Amande,effilée,-,Epicerie,
Amande en poudre,Amande,en poudre,-,Epicerie,
Amande,Amande,,-,Epicerie,
Amande blanchie,Amande,blanchie,-,Epicerie,
Amande grillée salée,Amande,grillée salée,-,Epicerie,
Amande hachées,Amande,hachées,-,Epicerie,
Amarante,Amarante,,-,Epicerie,
Amidon de maïs,Amidon,de maïs,-,Epicerie,
Amidon de riz,Amidon,de riz,-,Epicerie,
Ananas tranche,Ananas,tranche,-,Fruits_et_légumes,
Ananas en carpaccio,Ananas,en carpaccio,-,Fruits_et_légumes,
Ananas en cubes,Ananas,en cubes,-,Fruits_et_légumes,
Ananas en dés,Ananas,en dés,-,Fruits_et_légumes,
Ananas,Ananas,,-,Fruits_et_légumes,
Ananas en morceaux,Ananas,en morceaux,-,Fruits_et_légumes,
Ananas victoria,Ananas,victoria,-,Fruits_et_légumes,
Ananas au sirop,Ananas au sirop,,-,Epicerie,
Anchois,Anchois,,-,Viandes_Poissons,
Anchois filets à l'huile,Anchois,filets à l'huile,-,Viandes_Poissons,
Anchois au sel,Anchois,au sel,-,Viandes_Poissons,
Anchois filets roulés aux câpres,Anchois,filets roulés aux câpres,-,Viandes_Poissons,
Anchois mariné,Anchois,mariné,-,Viandes_Poissons,
Andouille de vire,Andouille,de vire,-,Viandes_Poissons,
Andouille,Andouille,,-,Viandes_Poissons,
Andouille de guéméné,Andouille,de guéméné,-,Viandes_Poissons,
Andouillette noire,Andouillette,noire,-,Viandes_Poissons,
Andouillette,Andouillette,,-,Viandes_Poissons,
Andouillette de troyes,Andouillette,de troyes,-,Viandes_Poissons,
Aneth,Aneth,,-,Fruits_et_légumes,
Anguille,Anguille,,-,Viandes_Poissons,
Anone,Anone,,-,Fruits_et_légumes,
Ao-nori,Ao-nori,,-,Epicerie,
Apéritif anisé sans alcool,Apéritif anisé sans alcool,,-,Epicerie,
Arachide,Arachide,,-,Epicerie,
Araignée de mer,Araignée de mer,,-,Viandes_Poissons,
Arôme patrelle,Arôme,patrelle,-,Epicerie,
Arôme vanille,Arôme,vanille,-,Epicerie,
Arôme fraise,Arôme,fraise,-,Epicerie,
Artichaut,Artichaut,,-,Fruits_et_légumes,
Artichaut,Artichaut,,-,Fruits_et_légumes,
Artichaut coeur,Artichaut coeur,,-,Fruits_et_légumes,
Artichaut coeur,Artichaut coeur,,-,Fruits_et_légumes,
Artichaut coeur,Artichaut coeur,,-,Fruits_et_légumes,
Artichaut coeur,Artichaut coeur,,-,Fruits_et_légumes,
Artichaut coeur,Artichaut coeur,,-,Fruits_et_légumes,
Artichaut fond,Artichaut fond,,-,Epicerie,
Ascophylle noueux,Ascophylle noueux,,-,Epicerie,
Asiago,Asiago,,-,BOF,
Asperge pointes,Asperge,pointes,-,Fruits_et_légumes,
Asperge,Asperge,,-,Fruits_et_légumes,
Asperge épluché,Asperge,épluché,-,Fruits_et_légumes,
Asperge pelé,Asperge,pelé,-,Fruits_et_légumes,
Asperge,Asperge,,-,Fruits_et_légumes,
Asperge,Asperge,,-,Fruits_et_légumes,
Asperge verte,Asperge,verte,-,Fruits_et_légumes,
Asperge blanche,Asperge,blanche,-,Fruits_et_légumes,
Aubergine,Aubergine,,-,Fruits_et_légumes,
Aubergine grillée,Aubergine,grillée,-,Fruits_et_légumes,
Aubergine en cubes,Aubergine,en cubes,-,Fruits_et_légumes,
Aubergine lamelle,Aubergine,lamelle,-,Fruits_et_légumes,
Aubergine en cubes,Aubergine,en cubes,-,Fruits_et_légumes,
Aubergine lamelle,Aubergine,lamelle,-,Fruits_et_légumes,
Autruche,Autruche,,-,Viandes_Poissons,
Avocat en demi,Avocat,en demi,-,Fruits_et_légumes,
Avocat,Avocat,,-,Fruits_et_légumes,
Avoine,Avoine,,-,Epicerie,
Baba au rhum,Baba,au rhum,-,Epicerie,
Baba,Baba,,-,Epicerie,
Baba savarin,Baba,savarin,-,Epicerie,
Babybel,Babybel,,-,BOF,
Badiane,Badiane,,-,Epicerie,
Bagel,Bagel,,-,Epicerie,
Baguette sans sel,Baguette,sans sel,-,Epicerie,
Baguette au levain,Baguette,au levain,-,Epicerie,
Baguette aux céréales et graines,Baguette,aux céréales et graines,-,Epicerie,
Baguette de campagne,Baguette,de campagne,-,Epicerie,
Baguette t55 à t110,Baguette,t55 à t110,-,Epicerie,
Baguette tradition,Baguette,tradition,-,Epicerie,
Baguette,Baguette,,-,Epicerie,
Baie rose,Baie,rose,-,Epicerie,
Baie de genièvre,Baie de genièvre,,-,Epicerie,
Baklawa,Baklawa,,-,Epicerie,
Bambou pousses,Bambou,pousses,-,Fruits_et_légumes,
Bambou pousses,Bambou,pousses,-,Fruits_et_légumes,
Banane,Banane,,-,Fruits_et_légumes,
Banane plaintain,Banane plaintain,,-,Fruits_et_légumes,
Banane séchés,Banane séchés,,-,Fruits_et_légumes,
Bar,Bar,,-,Viandes_Poissons,
Bar élevage,Bar,élevage,-,Viandes_Poissons,
Bar rayé,Bar,rayé,-,Viandes_Poissons,
Bar sauvage,Bar,sauvage,-,Viandes_Poissons,
Barre à la noix de coco au chocolat,Barre à la noix de coco,au chocolat,-,Epicerie,
Barre biscuitée fourrée aux fruits,Barre biscuitée fourrée aux fruits,,-,Epicerie,
Barre céréalière au chocolat,Barre céréalière,au chocolat,-,Epicerie,
Barre céréalière au chocolat et aux fruits,Barre céréalière,au chocolat et aux fruits,-,Epicerie,
Barre céréalière au lait et chocolat,Barre céréalière,au lait et chocolat,-,Epicerie,
Barre céréalière aux amandes,Barre céréalière,aux amandes,-,Epicerie,
Barre céréalière aux fruits,Barre céréalière,aux fruits,-,Epicerie,
Barre céréalière aux noisettes,Barre céréalière,aux noisettes,-,Epicerie,
Barre céréalière,Barre céréalière,,-,Epicerie,
Barre céréalière au lait et chocolat avec génoise,Barre céréalière,au lait et chocolat avec génoise,-,Epicerie,
Barre chocolatée au lait avec nougat,Barre chocolatée,au lait avec nougat,-,Epicerie,
Barre chocolatée aux fruits secs,Barre chocolatée,aux fruits secs,-,Epicerie,
Barre chocolatée biscuitée,Barre chocolatée,biscuitée,-,Epicerie,
Barre glacée au chocolat,Barre glacée,au chocolat,-,Epicerie,
Barre glacée,Barre glacée,,-,Epicerie,
Barre glacée au caramel,Barre glacée,au caramel,-,Epicerie,
Barre pâtissière,Barre pâtissière,,-,Epicerie,
Base de pizza à la crème,Base de pizza,à la crème,-,Epicerie,
Base de pizza tomatée,Base de pizza,tomatée,-,Epicerie,
Basilic,Basilic,,-,Fruits_et_légumes,
Basilic séché séché,Basilic séché,séché,-,Epicerie,
Basmati,Basmati,,-,Epicerie,
Batavia,Batavia,,-,Fruits_et_légumes,
Batavia,Batavia,,-,Fruits_et_légumes,
Batavia épluché,Batavia,épluché,-,Fruits_et_légumes,
Baudroie rousse,Baudroie rousse,,-,Viandes_Poissons,
Bavarois aux fruits rouges,Bavarois,aux fruits rouges,-,BOF,
Beaufort,Beaufort,,-,BOF,
Beignet à la pomme,Beignet,à la pomme,-,Epicerie,
Beignet au chocolat,Beignet,au chocolat,-,Epicerie,
Beignet aux abricots,Beignet,aux abricots,-,Epicerie,
Beignet au poisson,Beignet,au poisson,-,Epicerie,
Beignet de volaille,Beignet,de volaille,-,Epicerie,
Beignet à la confiture,Beignet,à la confiture,-,Epicerie,
Beignet,Beignet,,-,Epicerie,
Beignet à la framboise,Beignet,à la framboise,-,Epicerie,
Beignet de légumes,Beignet,de légumes,-,Epicerie,
Beignet de crevette,Beignet,de crevette,-,Epicerie,
Beignet aux fruits,Beignet,aux fruits,-,Epicerie,
Betterave rouge en lanière,Betterave rouge,en lanière,-,Fruits_et_légumes,
Betterave rouge,Betterave rouge,,-,Fruits_et_légumes,
Betterave rouge rapé,Betterave rouge,rapé,-,Fruits_et_légumes,
Betterave rouge en cubes,Betterave rouge,en cubes,-,Fruits_et_légumes,
Betterave rouge rapé,Betterave rouge,rapé,-,Fruits_et_légumes,
Betterave rouge,Betterave rouge,,-,Fruits_et_légumes,
Beurre,Beurre,,-,BOF,
Beurre demi-sel,Beurre,demi-sel,-,BOF,
Beurre doux,Beurre,doux,-,BOF,
Beurre salé,Beurre,salé,-,BOF,
Beurre Micro-pain,Beurre,Micro-pain,-,BOF,
Beurre de cacahuète,Beurre de cacahuète,,-,Epicerie,
Beurre de cacao,Beurre de cacao,,-,Epicerie,
Beurre de karité,Beurre de karité,,-,Epicerie,
Bicarbonate de soude,Bicarbonate de soude,,-,Epicerie,
Bière brune,Bière,brune,-,Epicerie,
Bière blanche,Bière,blanche,-,Epicerie,
Bière d'abbaye,Bière,d'abbaye,-,Epicerie,
Bière faiblement alcoolisée 3° alcool,Bière,faiblement alcoolisée 3° alcool,-,Epicerie,
Bière forte >8° alcool,Bière,forte >8° alcool,-,Epicerie,
"Bière sans alcool <1,2° alcool",Bière,"sans alcool <1,2° alcool",-,Epicerie,
Bière spéciale 5-6° alcool,Bière,spéciale 5-6° alcool,-,Epicerie,
Bière,Bière,,-,Epicerie,
Bigorneau,Bigorneau,,-,Viandes_Poissons,
Biscotte briochée,Biscotte,briochée,-,Epicerie,
Biscotte,Biscotte,,-,Epicerie,
Biscotte complète,Biscotte,complète,-,Epicerie,
Biscotte multicéréale,Biscotte,multicéréale,-,Epicerie,
Biscuit apéritif,Biscuit apéritif,,-,Epicerie,
Biscuit apéritif soufflé à base de maïs à la cacahuète,Biscuit apéritif soufflé,à base de maïs à la cacahuète,-,Epicerie,
Biscuit de Savoie,Biscuit de Savoie,,-,Epicerie,
Biscuit moelleux fourré à l'orange et enrobé de sucre glace,Biscuit moelleux fourré à l'orange et enrobé de sucre glace,,-,Epicerie,
Biscuit pâtissier meringué,Biscuit pâtissier meringué,,-,Epicerie,
Biscuit pour bébé,Biscuit pour bébé,,-,Epicerie,
Biscuit sec type barquette au chocolat,Biscuit sec,type barquette au chocolat,-,Epicerie,
Biscuit sec type barquette,Biscuit sec,type barquette,-,Epicerie,
Biscuit sec type barquette aux fruits,Biscuit sec,type barquette aux fruits,-,Epicerie,
Biscuit sec à l'orange,Biscuit sec,à l'orange,-,Epicerie,
Biscuit sec sablé,Biscuit sec,sablé,-,Epicerie,
Biscuit sec au chocolat,Biscuit sec,au chocolat,-,Epicerie,
Biscuit sec au chocolat,Biscuit sec,au chocolat,-,Epicerie,
Biscuit sec à la pâte de fruits,Biscuit sec,à la pâte de fruits,-,Epicerie,
Biscuit sec au lait,Biscuit sec,au lait,-,Epicerie,
Biscuit sec aux céréales,Biscuit sec,aux céréales,-,Epicerie,
Biscuit sec aux fruits,Biscuit sec,aux fruits,-,Epicerie,
Biscuit sec aux fruits à coque,Biscuit sec,aux fruits à coque,-,Epicerie,
Biscuit sec galette au beurre sablé,Biscuit sec,galette au beurre sablé,-,Epicerie,
Biscuit sec tartelette nappé aux fruits,Biscuit sec,tartelette nappé aux fruits,-,Epicerie,
Biscuit sec type cigarette russe,Biscuit sec,type cigarette russe,-,Epicerie,
Biscuit sec type tuile aux fruits,Biscuit sec,type tuile aux fruits,-,Epicerie,
Biscuit sec,Biscuit sec,,-,Epicerie,
Biscuit sec aux amandes,Biscuit sec,aux amandes,-,Epicerie,
Biscuit sec boudoir,Biscuit sec,boudoir,-,Epicerie,
Biscuit sec type galette au chocolat,Biscuit sec,type galette au chocolat,-,Epicerie,
Biscuit sec type tartelette au chocolat,Biscuit sec,type tartelette au chocolat,-,Epicerie,
Biscuit sec type langue de chat,Biscuit sec,type langue de chat,-,Epicerie,
Biscuit sec cuillère,Biscuit sec,cuillère,-,Epicerie,
Biscuit sec feuilleté type palmier,Biscuit sec feuilleté,type palmier,-,Epicerie,
Biscuit sec fourré à la vanille,Biscuit sec fourré,à la vanille,-,Epicerie,
Biscuit sec fourré au chocolat,Biscuit sec fourré,au chocolat,-,Epicerie,
Biscuit sec fourré au lait,Biscuit sec fourré,au lait,-,Epicerie,
Biscuit sec fourré aux fruits,Biscuit sec fourré,aux fruits,-,Epicerie,
Biscuit sec petit beurre,Biscuit sec petit beurre,,-,Epicerie,
Biscuit sec petit beurre au chocolat,Biscuit sec petit beurre,au chocolat,-,Epicerie,
Biscuit sec pour petit déjeuner,Biscuit sec pour petit déjeuner,,-,Epicerie,
Biscuit sec pour petit déjeuner au chocolat,Biscuit sec pour petit déjeuner,au chocolat,-,Epicerie,
Blanc d'œuf,Blanc d'œuf,,-,Epicerie,
Blanc de dinde,Blanc de dinde,,-,Viandes_Poissons,
Blanc de poulet,Blanc de poulet,,-,Viandes_Poissons,
Blancs d'oeufs en neige lit de caramel,Blancs d'oeufs en neige,lit de caramel,-,BOF,
Blanquette de veau,Blanquette de veau,,-,Epicerie,
Blé de Khorasan complet,Blé,de Khorasan complet,-,Epicerie,
Blé de Khorasan,Blé,de Khorasan,-,Epicerie,
Blé germé,Blé,germé,-,Epicerie,
Blé tendre,Blé,tendre,-,Epicerie,
Blé tendre froment,Blé,tendre froment,-,Epicerie,
Blé,Blé,,-,Epicerie,
Blé dur cuisiné,Blé,dur cuisiné,-,Epicerie,
Blette,Blette,,-,Fruits_et_légumes,
Blette,Blette,,-,Fruits_et_légumes,
Bleu,Bleu,,-,BOF,
Bleu au lait de vache,Bleu,au lait de vache,-,BOF,
Bleu d'Auvergne,Bleu,d'Auvergne,-,BOF,
Bleu de bresse,Bleu,de bresse,-,BOF,
Bleu de Gex,Bleu,de Gex,-,BOF,
Bleu des causses,Bleu,des causses,-,BOF,
Bleu du Haut-jura,Bleu,du Haut-jura,-,BOF,
Blini,Blini,,-,Epicerie,
Boeuf filet,Boeuf,filet,-,Viandes_Poissons,
Boeuf entrecôte,Boeuf,entrecôte,-,Viandes_Poissons,
Boeuf entrecôte partie maigre,Boeuf,entrecôte partie maigre,-,Viandes_Poissons,
Boeuf hampe,Boeuf,hampe,-,Viandes_Poissons,
Boeuf faux filet,Boeuf,faux filet,-,Viandes_Poissons,
Boeuf faux-filet,Boeuf,faux-filet,-,Viandes_Poissons,
Boeuf macreuse,Boeuf,macreuse,-,Viandes_Poissons,
Boeuf émincé,Boeuf,émincé,-,Viandes_Poissons,
Boeuf,Boeuf,,-,Viandes_Poissons,
Boeuf tende de tranche,Boeuf,tende de tranche,-,Viandes_Poissons,
Boeuf bifteck,Boeuf,bifteck,-,Viandes_Poissons,
Boeuf bavette,Boeuf,bavette,-,Viandes_Poissons,
Boeuf bavette d'aloyau,Boeuf,bavette d'aloyau,-,Viandes_Poissons,
Boeuf paleron,Boeuf,paleron,-,Viandes_Poissons,
Boeuf boule de macreuse,Boeuf,boule de macreuse,-,Viandes_Poissons,
Boeuf collier sauté,Boeuf,collier sauté,-,Viandes_Poissons,
Boeuf paleron sauté,Boeuf,paleron sauté,-,Viandes_Poissons,
Boeuf à bourguignon,Boeuf,à bourguignon,-,Viandes_Poissons,
Boeuf bourguignon,Boeuf,bourguignon,-,Viandes_Poissons,
Boeuf bourguignon,Boeuf,bourguignon,-,Viandes_Poissons,
Boeuf côte,Boeuf,côte,-,Viandes_Poissons,
Boeuf gîte,Boeuf,gîte,-,Viandes_Poissons,
Boeuf épaule,Boeuf,épaule,-,Viandes_Poissons,
Boeuf jarret,Boeuf,jarret,-,Viandes_Poissons,
Boeuf onglet,Boeuf,onglet,-,Viandes_Poissons,
Boeuf plat de côtes,Boeuf,plat de côtes,-,Viandes_Poissons,
Boeuf queue,Boeuf,queue,-,Viandes_Poissons,
Boeuf rond de gîte,Boeuf,rond de gîte,-,Viandes_Poissons,
Boeuf rosbif,Boeuf,rosbif,-,Viandes_Poissons,
Boeuf rumsteck,Boeuf,rumsteck,-,Viandes_Poissons,
Boeuf steak,Boeuf,steak,-,Viandes_Poissons,
Boeuf tende de tranche,Boeuf,tende de tranche,-,Viandes_Poissons,
Boeuf,Boeuf,,-,Viandes_Poissons,
Boeuf basse-côte,Boeuf,basse-côte,-,Viandes_Poissons,
Boeuf palet,Boeuf,palet,-,Viandes_Poissons,
Boeuf escalope,Boeuf,escalope,-,Viandes_Poissons,
Bogue,Bogue,,-,Viandes_Poissons,
Boisson à base d'avoine,Boisson à base d'avoine,,-,Epicerie,
Boisson à base de plantes pour bébé,Boisson à base de plantes pour bébé,,-,Epicerie,
Boisson à l'amande,Boisson à l'amande,,-,Epicerie,
Boisson à l'amande sucrée,Boisson à l'amande,sucrée,-,Epicerie,
Boisson à l'eau de source aromatisé,Boisson à l'eau de source,aromatisé,-,Epicerie,
Boisson à l'eau minérale aromatisé,Boisson à l'eau minérale,aromatisé,-,Epicerie,
Boisson à la châtaigne,Boisson à la châtaigne,,-,Epicerie,
Boisson à la noix de coco,Boisson à la noix de coco,,-,Epicerie,
Boisson au riz nature,Boisson au riz,nature,-,Epicerie,
Boisson au soja aromatisé,Boisson au soja,aromatisé,-,Epicerie,
Boisson au soja et jus de fruits concentrés,Boisson au soja,et jus de fruits concentrés,-,Epicerie,
Boisson au soja,Boisson au soja,,-,Epicerie,
Boisson au thé aromatisé,Boisson au thé,aromatisé,-,Epicerie,
Boisson aux fruits pour bébé dès 4/6mois,Boisson aux fruits pour bébé dès 4/6mois,,-,Epicerie,
Boisson cacaotée,Boisson cacaotée,,-,Epicerie,
Boisson énergisante avec édulcorants,Boisson énergisante,avec édulcorants,-,Epicerie,
Boisson énergisante sucrée,Boisson énergisante,sucrée,-,Epicerie,
Boisson gazeuse à la pomme,Boisson gazeuse,à la pomme,-,Epicerie,
Boisson gazeuse aux fruits,Boisson gazeuse,aux fruits,-,Epicerie,
Boisson gazeuse,Boisson gazeuse,,-,Epicerie,
Boisson infantile céréales lactées aux légumes,Boisson infantile céréales lactées,aux légumes,-,Epicerie,
Boisson infantile céréales lactées,Boisson infantile céréales lactées,,-,Epicerie,
Boisson infantile céréales lactées a aux fruits,Boisson infantile céréales lactées a,aux fruits,-,Epicerie,
Boisson lactée aromatisée à la fraise,Boisson lactée,aromatisée à la fraise,-,Epicerie,
Boisson lactée aromatisée au chocolat,Boisson lactée,aromatisée au chocolat,-,Epicerie,
Boisson plate aux fruits,Boisson plate,aux fruits,-,Epicerie,
Bok choy,Bok choy,,-,Fruits_et_légumes,
Bonbon dur et sucette,Bonbon,dur et sucette,-,Epicerie,
Bonbon biscuit,Bonbon,biscuit,-,Epicerie,
Bonbon,Bonbon,,-,Epicerie,
Bonbon au caramel dur,Bonbon au caramel,dur,-,Epicerie,
Bonbon au caramel mou,Bonbon au caramel,mou,-,Epicerie,
Bonbon gélifié,Bonbon gélifié,,-,Epicerie,
Bonite,Bonite,,-,Viandes_Poissons,
Bouchée,Bouchée,,-,Epicerie,
Bouchée à la reine à la viande,Bouchée à la reine,à la viande,-,Epicerie,
Bouchée à la reine à la volaille,Bouchée à la reine,à la volaille,-,Epicerie,
Bouchée à la reine à la quenelle,Bouchée à la reine,à la quenelle,-,Epicerie,
Bouchée à la reine au poisson et fruits de mer,Bouchée à la reine,au poisson et fruits de mer,-,Epicerie,
Bouchée à la vapeur,Bouchée à la vapeur,,-,Epicerie,
Bouchée chocolat fourrage fruits à coques,Bouchée chocolat,fourrage fruits à coques,-,Epicerie,
Bouchée chocolat praliné,Bouchée chocolat,praliné,-,Epicerie,
Bouchées au soja et blé au soja et blé,Bouchées au soja et blé,au soja et blé,-,Viandes_Poissons,
Bouchées traiteur,Bouchées traiteur,,-,Epicerie,
Bouchées végétal au soja et blé,Bouchées végétal,au soja et blé,-,Viandes_Poissons,
Boudin blanc truffé,Boudin,blanc truffé,-,Viandes_Poissons,
Boudin noir aux oignons,Boudin,noir aux oignons,-,Viandes_Poissons,
Boudin noir,Boudin,noir,-,Viandes_Poissons,
Boudin,Boudin,,-,Viandes_Poissons,
Boudin antillais,Boudin,antillais,-,Viandes_Poissons,
Boudin blanc,Boudin,blanc,-,Viandes_Poissons,
Bouillon de boeuf,Bouillon,de boeuf,-,Epicerie,
Bouillon au poisson,Bouillon,au poisson,-,Epicerie,
Bouillon pot au feu,Bouillon,pot au feu,-,Epicerie,
Bouillon de légumes,Bouillon,de légumes,-,Epicerie,
Bouillon de volaille,Bouillon,de volaille,-,Epicerie,
Bouillon de viande et légumes,Bouillon,de viande et légumes,-,Epicerie,
Boules de maïs soufflées au miel,Boules de maïs soufflées au miel,,-,Epicerie,
Boulette d'Avesne,Boulette d'Avesne,,-,BOF,
Boulette de pois-chiche,Boulette de pois-chiche,,-,Epicerie,
Boulette végétale pois chiche,Boulette végétale,pois chiche,-,Epicerie,
Boulette végétale au soja cuite tomate basilic,Boulette végétale,au soja cuite tomate basilic,-,Epicerie,
Boulette végétale au soja,Boulette végétale,au soja,-,Epicerie,
Boulette végétale aux haricots/flageolets,Boulette végétale,aux haricots/flageolets,-,Epicerie,
Boulette végétale aux haricots blancs,Boulette végétale,aux haricots blancs,-,Epicerie,
Boulette végétale au blé,Boulette végétale,au blé,-,Epicerie,
Boulettes d'agneau,Boulettes,d'agneau,-,Viandes_Poissons,
Boulettes de boeuf,Boulettes,de boeuf,-,Viandes_Poissons,
Boulettes à la suédoise,Boulettes,à la suédoise,-,Viandes_Poissons,
Boulettes au boeuf,Boulettes,au boeuf,-,Viandes_Poissons,
Boulettes type kefta,Boulettes,type kefta,-,Viandes_Poissons,
Boulettes de boeuf,Boulettes,de boeuf,-,Viandes_Poissons,
Boulgour,Boulgour,,-,Epicerie,
Boulgour de blé,Boulgour de blé,,-,Epicerie,
Bouquet garni,Bouquet garni,,-,Epicerie,
Brème,Brème,,-,Viandes_Poissons,
Bresaola,Bresaola,,-,Viandes_Poissons,
Bretzel,Bretzel,,-,Epicerie,
Brick à l'oeuf,Brick,à l'oeuf,-,Epicerie,
Brick à la pomme de terre,Brick,à la pomme de terre,-,Epicerie,
Brick au boeuf,Brick,au boeuf,-,Epicerie,
Brick aux crevettes,Brick,aux crevettes,-,Epicerie,
Brick aux légumes,Brick,aux légumes,-,Epicerie,
Brick à la volaille,Brick,à la volaille,-,Epicerie,
Brick à la viande,Brick,à la viande,-,Epicerie,
Brick au poisson,Brick,au poisson,-,Epicerie,
Brie,Brie,,-,BOF,
Brie de Meaux,Brie,de Meaux,-,BOF,
Brie de Melun,Brie,de Melun,-,BOF,
Brioche au chocolat,Brioche,au chocolat,-,Epicerie,
Brioche,Brioche,,-,Epicerie,
Brioche à la crême patissière,Brioche,à la crême patissière,-,Epicerie,
Brioche aux fruits,Brioche,aux fruits,-,Epicerie,
Brioche aux fruits confits,Brioche,aux fruits confits,-,Epicerie,
Brioche pur beurre,Brioche,pur beurre,-,Epicerie,
Brioche aux pépites de chocolat,Brioche,aux pépites de chocolat,-,Epicerie,
Brioche tranché,Brioche,tranché,-,Epicerie,
Brisure de framboise,Brisure de framboise,,-,Epicerie,
Brochet,Brochet,,-,Viandes_Poissons,
Brochette au porc,Brochette,au porc,-,Viandes_Poissons,
Brochette au porc,Brochette,au porc,-,Viandes_Poissons,
Brochette au poisson,Brochette,au poisson,-,Viandes_Poissons,
Brochette d'agneau,Brochette,d'agneau,-,Viandes_Poissons,
Brochette de dinde mariné provençale,Brochette,de dinde mariné provençale,-,Viandes_Poissons,
Brochette de dinde,Brochette,de dinde,-,Viandes_Poissons,
Brochette mixte de viande,Brochette,mixte de viande,-,Viandes_Poissons,
Brochette de crevettes,Brochette,de crevettes,-,Viandes_Poissons,
Brochette de poisson,Brochette,de poisson,-,Viandes_Poissons,
Brochette de boeuf,Brochette,de boeuf,-,Viandes_Poissons,
Brochette de volaille,Brochette,de volaille,-,Viandes_Poissons,
Brocoli fleurette,Brocoli,fleurette,-,Fruits_et_légumes,
Brocoli,Brocoli,,-,Fruits_et_légumes,
Brocoli,Brocoli,,-,Fruits_et_légumes,
Brocoli croquant,Brocoli,croquant,-,Fruits_et_légumes,
Brownie au chocolat,Brownie,au chocolat,-,Epicerie,
Brugnon,Brugnon,,-,Fruits_et_légumes,
Brunoise de légumes,Brunoise de légumes,,-,Fruits_et_légumes,
Bûche de Noël,Bûche de Noël,,-,Epicerie,
Bûche glacée vanille et chocolat,Bûche glacée,vanille et chocolat,-,Epicerie,
Bûche glacée fraise et vanille,Bûche glacée,fraise et vanille,-,Epicerie,
Bûche glacée,Bûche glacée,,-,Epicerie,
Bulot,Bulot,,-,Viandes_Poissons,
Burger au poisson,Burger,au poisson,-,Epicerie,
Burger au poulet,Burger,au poulet,-,Epicerie,
Burritos,Burritos,,-,Epicerie,
Butternut en cubes,Butternut,en cubes,-,Fruits_et_légumes,
Butternut,Butternut,,-,Fruits_et_légumes,
Cabillaud aiguillette pané,Cabillaud,aiguillette pané,-,Viandes_Poissons,
Cabillaud aiguillette,Cabillaud,aiguillette,-,Viandes_Poissons,
Cabillaud filet,Cabillaud,filet,-,Viandes_Poissons,
Cabillaud,Cabillaud,,-,Viandes_Poissons,
Cacahuète enrobées d'un biscuit pour apéritif,Cacahuète,enrobées d'un biscuit pour apéritif,-,Epicerie,
Cacahuète salée,Cacahuète,salée,-,Epicerie,
Cacahuète sans sel,Cacahuète,sans sel,-,Epicerie,
Cacahuète enrobées de chocolat dragéifiées,Cacahuète,enrobées de chocolat dragéifiées,-,Epicerie,
Cacahuète,Cacahuète,,-,Epicerie,
